x-axis,1,2,3
second,Volt,Volt,Volt
-5.5200E-03,+1.6515951E+00,+1.6551516E+00,+1.7323493E+00
-5.5100E-03,+1.6348587E+00,+1.6567207E+00,+1.7140439E+00
-5.5000E-03,+1.6515951E+00,+1.6441684E+00,+1.7098598E+00
-5.4900E-03,+1.6348587E+00,+1.6384152E+00,+1.7156129E+00
-5.4800E-03,+1.6348587E+00,+1.6384152E+00,+1.7156129E+00
-5.4700E-03,+1.6196914E+00,+1.6687500E+00,+1.7292113E+00
-5.4600E-03,+1.6515951E+00,+1.6551516E+00,+1.6988765E+00
-5.4500E-03,+1.6615324E+00,+1.6284780E+00,+1.6988765E+00
-5.4400E-03,+1.6348587E+00,+1.6242939E+00,+1.7129979E+00
-5.4300E-03,+1.6484571E+00,+1.6551516E+00,+1.6988765E+00
-5.4200E-03,+1.6515951E+00,+1.6436454E+00,+1.7265962E+00
-5.4100E-03,+1.6348587E+00,+1.6551516E+00,+1.7255502E+00
-5.4000E-03,+1.6374738E+00,+1.6525366E+00,+1.7129979E+00
-5.3900E-03,+1.6515951E+00,+1.6535826E+00,+1.7292113E+00
-5.3800E-03,+1.6458420E+00,+1.6384152E+00,+1.7098598E+00
-5.3700E-03,+1.6515951E+00,+1.6483525E+00,+1.7056757E+00
-5.3600E-03,+1.6657165E+00,+1.6410303E+00,+1.7156129E+00
-5.3500E-03,+1.6531642E+00,+1.6535826E+00,+1.7140439E+00
-5.3400E-03,+1.6406119E+00,+1.6493985E+00,+1.7098598E+00
-5.3300E-03,+1.6447960E+00,+1.6551516E+00,+1.7056757E+00
-5.3200E-03,+1.6657165E+00,+1.6384152E+00,+1.7129979E+00
-5.3100E-03,+1.6364278E+00,+1.6551516E+00,+1.7156129E+00
-5.3000E-03,+1.6406119E+00,+1.6493985E+00,+1.7046297E+00
-5.2900E-03,+1.6615324E+00,+1.6582897E+00,+1.7088138E+00
-5.2800E-03,+1.6348587E+00,+1.6410303E+00,+1.7182280E+00
-5.2700E-03,+1.6515951E+00,+1.6535826E+00,+1.6988765E+00
-5.2600E-03,+1.6238755E+00,+1.6384152E+00,+1.7103828E+00
-5.2500E-03,+1.6447960E+00,+1.6582897E+00,+1.7056757E+00
-5.2400E-03,+1.6489801E+00,+1.6410303E+00,+1.7014916E+00
-5.2300E-03,+1.6500261E+00,+1.6384152E+00,+1.7004456E+00
-5.2200E-03,+1.6458420E+00,+1.6551516E+00,+1.7150899E+00
-5.2100E-03,+1.6249215E+00,+1.6384152E+00,+1.7124749E+00
-5.2000E-03,+1.6489801E+00,+1.6384152E+00,+1.7156129E+00
-5.1900E-03,+1.6364278E+00,+1.6384152E+00,+1.7307803E+00
-5.1800E-03,+1.6348587E+00,+1.6493985E+00,+1.7098598E+00
-5.1700E-03,+1.6379968E+00,+1.6551516E+00,+1.7124749E+00
-5.1600E-03,+1.6489801E+00,+1.6410303E+00,+1.7156129E+00
-5.1500E-03,+1.6484571E+00,+1.6687500E+00,+1.6988765E+00
-5.1400E-03,+1.6458420E+00,+1.6609048E+00,+1.7046297E+00
-5.1300E-03,+1.6515951E+00,+1.6551516E+00,+1.7187510E+00
-5.1200E-03,+1.6374738E+00,+1.6551516E+00,+1.7156129E+00
-5.1100E-03,+1.6332897E+00,+1.6384152E+00,+1.6821401E+00
-5.1000E-03,+1.6458420E+00,+1.6493985E+00,+1.7156129E+00
-5.0900E-03,+1.6447960E+00,+1.6650889E+00,+1.7088138E+00
-5.0800E-03,+1.6489801E+00,+1.6551516E+00,+1.7271192E+00
-5.0700E-03,+1.6667625E+00,+1.6399843E+00,+1.7004456E+00
-5.0600E-03,+1.6296286E+00,+1.6436454E+00,+1.7156129E+00
-5.0500E-03,+1.6249215E+00,+1.6483525E+00,+1.7156129E+00
-5.0400E-03,+1.6374738E+00,+1.6410303E+00,+1.7014916E+00
-5.0300E-03,+1.6484571E+00,+1.6551516E+00,+1.7292113E+00
-5.0200E-03,+1.6568253E+00,+1.6441684E+00,+1.7213661E+00
-5.0100E-03,+1.6447960E+00,+1.6384152E+00,+1.6889393E+00
-5.0000E-03,+1.6348587E+00,+1.6384152E+00,+1.7156129E+00
-4.9900E-03,+1.6500261E+00,+1.6535826E+00,+1.7004456E+00
-4.9800E-03,+1.6458420E+00,+1.6603818E+00,+1.7098598E+00
-4.9700E-03,+1.6348587E+00,+1.6452144E+00,+1.7056757E+00
-4.9600E-03,+1.6348587E+00,+1.6551516E+00,+1.7014916E+00
-4.9500E-03,+1.6364278E+00,+1.6687500E+00,+1.7156129E+00
-4.9400E-03,+1.6348587E+00,+1.6493985E+00,+1.7046297E+00
-4.9300E-03,+1.6348587E+00,+1.6384152E+00,+1.7156129E+00
-4.9200E-03,+1.6489801E+00,+1.6384152E+00,+1.7103828E+00
-4.9100E-03,+1.6500261E+00,+1.6551516E+00,+1.6868472E+00
-4.9000E-03,+1.6348587E+00,+1.6441684E+00,+1.7046297E+00
-4.8900E-03,+1.6416579E+00,+1.6384152E+00,+1.6988765E+00
-4.8800E-03,+1.6489801E+00,+1.6525366E+00,+1.7129979E+00
-4.8700E-03,+1.6500261E+00,+1.6551516E+00,+1.7171820E+00
-4.8600E-03,+1.6515951E+00,+1.6384152E+00,+1.7046297E+00
-4.8500E-03,+1.6515951E+00,+1.6582897E+00,+1.7056757E+00
-4.8400E-03,+1.6542102E+00,+1.6525366E+00,+1.7041067E+00
